"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2008 CM74)","2069-2119","21","2.1e-6","4.07","28.1","0.008","-7.50","-8.13","0","bK08C74M"
"(2008 CE22)","2113-2113","2","3.3e-7","8.47","26.4","0.018","-7.50","-7.52","0","bK08C22E"
"(2020 VA5)","2078-2090","2","4.5e-7","11.14","27.2","0.012","-7.50","-7.51","0","bK20V05A"
"(2010 UJ)","2040-2093","5","1.1e-7","2.69","26.3","0.019","-7.50","-7.54","0","bK10U00J"
"(2020 RB7)","2104-2117","7","4.6e-7","19.07","27.3","0.012","-7.50","-8.03","0","bK20R07B"
"(2005 UC3)","2072-2118","7","6.4e-7","7.88","27.1","0.013","-7.51","-7.90","0","bK05U03C"
"(2003 UX26)","2101-2101","1","2.3e-8","11.53","24.3","0.047","-7.51","-7.51","0","bK03U26X"
"(2019 JY2)","2059-2121","44","1.0e-5","7.67","29.6","0.004","-7.51","-8.27","0","bK19J02Y"
"(2020 OX5)","2063-2063","1","2.5e-7","8.89","26.9","0.014","-7.52","-7.52","0","bK20O05X"
"(2018 EE1)","2106-2106","1","2.8e-8","16.96","24.8","0.038","-7.52","-7.52","0","bK18E01E"
"(2021 GE6)","2056-2121","16","3.4e-6","3.23","28.8","0.006","-7.52","-7.87","0","bK21G06E"
"(2020 UA)","2073-2116","13","2.2e-6","6.52","28.4","0.007","-7.53","-7.94","0","bK20U00A"
"(2021 TG14)","2078-2121","27","1.6e-6","11.25","28.2","0.008","-7.54","-7.95","0","bK21T14G"
"(2020 DN3)","2107-2117","4","3.3e-7","13.89","26.8","0.015","-7.55","-7.87","0","bK20D03N"
"(2016 FC1)","2082-2088","4","2.7e-6","15.19","29.1","0.005","-7.55","-7.68","0","bK16F01C"
"(2018 GD2)","2093-2120","21","8.8e-6","7.58","29.4","0.004","-7.56","-8.25","0","bK18G02D"
"(2016 GM2)","2121-2121","2","8.0e-8","8.88","25.1","0.032","-7.56","-7.77","0","bK16G02M"
"(2017 UL5)","2089-2111","3","2.6e-7","8.13","26.4","0.018","-7.56","-7.59","0","bK17U05L"
"(2009 VT1)","2046-2121","25","4.3e-6","6.96","29.6","0.004","-7.57","-7.78","0","bK09V01T"
"(2019 SO6)","2069-2069","1","2.0e-8","27.97","25.6","0.025","-7.57","-7.57","0","bK19S06O"
"(2012 XH)","2112-2112","1","2.4e-7","6.26","26.1","0.021","-7.57","-7.57","0","bK12X00H"
"(2014 HD198)","2033-2112","14","1.1e-6","17.20","29.6","0.004","-7.58","-8.10","0","bK14HJ8D"
"(2017 FL64)","2118-2118","1","4.8e-6","2.43","28.6","0.006","-7.58","-7.58","0","bK17F64L"
"(2004 XG29)","2114-2117","2","1.2e-7","5.11","25.4","0.029","-7.58","-7.77","0","bK04X29G"
"(2015 HR182)","2087-2087","1","2.6e-10","18.74","21.0","0.210","-7.59","-7.59","0","bK15HI2R"
"(2015 HE1)","2098-2117","4","3.1e-7","14.60","27.0","0.013","-7.60","-7.81","0","bK15H01E"
"(2022 LX)","2071-2071","1","2.7e-8","7.94","24.8","0.037","-7.60","-7.60","0","bK22L00X"
"(2021 XX4)","2105-2120","7","2.3e-6","13.31","28.6","0.007","-7.60","-8.01","0","bK21X04X"
"(2002 AN129)","2064-2111","2","8.6e-8","11.46","26.1","0.021","-7.61","-7.73","0","bK02AC9N"
"(2004 FM4)","2110-2119","3","2.3e-8","14.81","24.6","0.042","-7.61","-7.86","0","bK04F04M"
"(2019 VB5)","2053-2121","189","6.7e-5","5.73","31.7","0.002","-7.61","-8.08","0","bK19V05B"
"(2021 GW6)","2057-2057","1","2.8e-7","22.65","28.2","0.008","-7.61","-7.61","0","bK21G06W"
"(2021 VN10)","2069-2106","7","9.7e-7","10.79","28.1","0.008","-7.61","-7.94","0","bK21V10N"
"(2020 DQ16)","2080-2119","9","1.0e-6","9.81","27.8","0.009","-7.62","-7.94","0","bK20D16Q"
"(2018 FG1)","2104-2118","11","6.2e-7","9.97","27.3","0.012","-7.62","-8.11","0","bK18F01G"
"(2020 HO6)","2113-2113","1","3.2e-7","9.35","26.6","0.016","-7.62","-7.62","0","bK20H06O"
"(2021 YB)","2099-2120","3","1.1e-6","5.55","27.5","0.011","-7.63","-7.69","0","bK21Y00B"
"(2019 TD)","2042-2060","2","1.8e-6","9.79","29.2","0.005","-7.63","-7.81","0","bK19T00D"
"(2008 CJ)","2106-2106","3","6.4e-7","8.07","27.3","0.012","-7.64","-7.76","0","bK08C00J"
"(2016 EL1)","2044-2109","9","4.2e-7","19.92","27.8","0.009","-7.65","-8.22","0","bK16E01L"
"(2018 XX2)","2106-2106","1","1.2e-7","11.91","26.0","0.021","-7.66","-7.66","0","bK18X02X"
"(2010 XU)","2058-2119","7","8.3e-8","6.25","25.4","0.029","-7.66","-8.23","0","bK10X00U"
"(2013 CL22)","2119-2119","1","3.8e-8","9.37","24.7","0.038","-7.66","-7.66","0","bK13C22L"
"(2018 MC5)","2110-2121","2","9.0e-8","4.10","25.3","0.030","-7.66","-7.84","0","bK18M05C"
"(2013 XS21)","2079-2111","12","5.8e-6","7.51","29.4","0.004","-7.66","-8.27","0","bK13X21S"
"(2022 DO2)","2107-2116","3","1.4e-6","8.77","28.1","0.008","-7.67","-7.70","0","bK22D02O"
"(2008 XK)","2050-2092","5","1.0e-7","15.92","27.1","0.013","-7.67","-7.67","0","bK08X00K"
"(2020 TD5)","2118-2118","2","2.9e-7","9.12","26.6","0.016","-7.67","-7.67","0","bK20T05D"
"(2020 SK4)","2072-2121","101","1.9e-5","5.52","30.3","0.003","-7.67","-8.55","0","bK20S04K"
"(2020 YL)","2097-2109","2","3.8e-7","8.20","27.0","0.014","-7.68","-7.72","0","bK20Y00L"
"(2021 VX22)","2110-2121","17","2.1e-5","2.21","30.2","0.003","-7.69","-8.06","0","bK21V22X"
"(2016 TG94)","2096-2121","26","8.1e-6","8.77","29.6","0.004","-7.69","-8.24","0","bK16T94G"
"(2014 OP2)","2071-2119","5","1.9e-6","11.63","29.1","0.005","-7.70","-7.83","0","bK14O02P"
"(2017 UQ7)","2091-2115","4","3.1e-8","14.06","25.2","0.031","-7.70","-7.73","0","bK17U07Q"
"(2017 DW119)","2046-2090","9","1.3e-7","8.55","26.6","0.016","-7.70","-8.07","0","bK17DB9W"
"(2019 UB2)","2081-2109","2","7.7e-8","9.56","25.8","0.023","-7.71","-7.83","0","bK19U02B"
"(2022 CL3)","2093-2093","1","1.1e-6","8.74","28.1","0.008","-7.71","-7.71","0","bK22C03L"
"(2011 UR63)","2110-2110","1","7.5e-8","12.57","25.7","0.024","-7.71","-7.71","0","bK11U63R"
"(2019 JK)","2053-2053","2","2.2e-7","17.81","28.0","0.009","-7.71","-7.83","0","bK19J00K"
"(2017 KH5)","2067-2074","3","2.6e-7","14.81","27.6","0.010","-7.71","-8.03","0","bK17K05H"
"(2013 RZ53)","2058-2121","17","2.5e-5","1.28","31.1","0.002","-7.72","-7.76","0","bK13R53Z"
"(2019 KT)","2110-2110","2","1.9e-7","11.72","26.6","0.017","-7.72","-7.82","0","bK19K00T"
"(2022 OC4)","2043-2118","14","7.8e-7","7.16","27.6","0.010","-7.72","-8.21","0","bK22O04C"
"(2010 YD)","2052-2091","2","1.3e-7","9.05","26.6","0.016","-7.72","-7.95","0","bK10Y00D"
"(2004 XO63)","2065-2065","1","7.1e-8","8.16","26.1","0.021","-7.72","-7.72","0","bK04X63O"
"(2021 XC2)","2069-2102","18","5.6e-6","9.35","29.8","0.004","-7.72","-8.04","0","bK21X02C"
"(2013 TX68)","2028-2049","2","8.7e-9","14.30","25.3","0.030","-7.74","-7.88","0","bK13T68X"
"(2022 AY6)","2084-2121","4","4.6e-8","22.93","26.3","0.019","-7.74","-7.81","0","bK22A06Y"
"(2008 JQ)","2101-2101","1","6.5e-8","7.56","25.5","0.027","-7.75","-7.75","0","bK08J00Q"
"(2020 FG)","2093-2118","13","5.9e-7","14.78","27.9","0.009","-7.75","-8.37","0","bK20F00G"
"(2008 EF85)","2110-2119","3","2.4e-7","9.52","26.7","0.016","-7.75","-8.02","0","bK08E85F"
"(2017 UC52)","2077-2077","1","7.0e-9","15.50","24.3","0.047","-7.75","-7.75","0","bK17U52C"
"(2019 KY3)","2104-2121","5","1.3e-7","16.65","26.6","0.016","-7.75","-8.09","0","bK19K03Y"
"(2020 AR1)","2096-2121","3","4.7e-7","9.13","27.2","0.012","-7.76","-7.80","0","bK20A01R"
"(2016 WF7)","2087-2120","10","3.0e-6","6.54","28.7","0.006","-7.76","-8.06","0","bK16W07F"
"(2021 WU)","2106-2106","1","7.6e-8","16.15","26.1","0.020","-7.76","-7.76","0","bK21W00U"
"(2015 FH37)","2078-2113","3","1.6e-8","18.37","24.9","0.036","-7.77","-8.04","0","bK15F37H"
"(2020 DO2)","2083-2083","1","7.2e-8","22.86","26.8","0.015","-7.78","-7.78","0","bK20D02O"
"(2018 CN)","2082-2082","2","5.7e-8","19.79","26.4","0.018","-7.78","-7.88","0","bK18C00N"
"(2020 XU4)","2112-2112","1","1.0e-6","6.68","27.8","0.009","-7.78","-7.78","0","bK20X04U"
"(2017 UW5)","2081-2115","4","1.3e-6","13.03","28.7","0.006","-7.79","-8.10","0","bK17U05W"
"(2020 DG4)","2094-2120","19","1.2e-6","6.90","28.2","0.008","-7.80","-8.14","0","bK20D04G"
"(2021 XD6)","2111-2118","2","2.2e-6","4.81","28.4","0.007","-7.80","-7.85","0","bK21X06D"
"(2017 UF)","2066-2082","4","1.9e-7","23.23","27.9","0.009","-7.81","-8.07","0","bK17U00F"
"(2009 SU104)","2109-2114","2","4.7e-8","13.30","25.6","0.026","-7.81","-7.93","0","bK09SA4U"
"(2021 JB6)","2103-2120","10","2.4e-6","8.59","28.8","0.006","-7.81","-8.33","0","bK21J06B"
"(2008 OO8)","2109-2109","1","4.5e-8","8.31","25.2","0.031","-7.81","-7.81","0","bK08O08O"
"(2016 UQ36)","2041-2050","3","1.5e-7","11.36","27.8","0.009","-7.81","-7.94","0","bK16U36Q"
"(2019 EH1)","2045-2118","40","3.5e-6","14.47","30.1","0.003","-7.82","-8.41","0","bK19E01H"
"(2022 OK)","2109-2121","5","1.9e-6","5.00","28.3","0.007","-7.82","-8.16","0","bK22O00K"
"(2021 JU6)","2068-2068","1","2.0e-7","11.25","27.4","0.011","-7.83","-7.83","0","bK21J06U"
"(2018 VP1)","2024-2079","17","1.2e-6","9.53","30.9","0.002","-7.83","-8.31","0","bK18V01P"
"(2015 JC1)","2060-2102","5","1.5e-7","15.26","27.1","0.013","-7.85","-8.18","0","bK15J01C"
"(2018 CA15)","2094-2116","3","8.1e-8","8.26","26.0","0.021","-7.85","-7.92","0","bK18C15A"
"(2020 GV2)","2077-2116","5","1.0e-7","14.88","26.9","0.014","-7.85","-8.06","0","bK20G02V"
"(2019 QF)","2069-2077","3","3.9e-7","11.12","27.9","0.009","-7.85","-8.12","0","bK19Q00F"
"(2020 TS1)","2106-2121","3","4.5e-6","3.55","29.1","0.005","-7.86","-7.91","0","bK20T01S"
"(2014 EU)","2100-2121","4","7.7e-7","5.61","27.7","0.010","-7.86","-8.15","0","bK14E00U"
"(2017 TU1)","2101-2119","2","8.6e-8","10.75","26.1","0.020","-7.87","-8.02","0","bK17T01U"
"(2016 TM)","2076-2120","5","5.1e-7","4.28","27.5","0.011","-7.87","-8.09","0","bK16T00M"
"(2020 UY)","2068-2118","16","2.1e-6","6.85","28.9","0.005","-7.87","-8.48","0","bK20U00Y"
"(2021 XQ4)","2045-2121","4","3.2e-8","17.91","26.8","0.015","-7.87","-8.06","0","bK21X04Q"
"(2012 WR10)","2081-2119","11","1.7e-6","2.73","28.5","0.007","-7.88","-8.39","0","bK12W10R"
"(2018 BX5)","2087-2121","28","2.3e-6","7.78","29.0","0.005","-7.88","-8.36","0","bK18B05X"
"(2016 FE15)","2062-2113","4","8.1e-7","12.20","28.8","0.006","-7.88","-7.98","0","bK16F15E"
"(2006 BB9)","2113-2113","1","4.7e-8","13.00","25.7","0.025","-7.88","-7.88","0","bK06B09B"
"(2009 QR)","2042-2105","6","1.4e-7","4.97","27.3","0.012","-7.89","-8.05","0","bK09Q00R"
"(2016 VF18)","2037-2077","2","2.6e-6","10.34","29.8","0.004","-7.89","-8.05","0","bK16V18F"
"(2015 XO129)","2080-2095","2","1.9e-8","12.63","25.2","0.031","-7.89","-7.98","0","bK15XC9O"
"(2015 XH55)","2092-2121","18","2.9e-6","7.13","29.2","0.005","-7.90","-8.32","0","bK15X55H"
"(2009 WQ52)","2037-2037","1","1.1e-7","14.76","28.2","0.008","-7.90","-7.90","0","bK09W52Q"
"(2017 UQ6)","2087-2104","5","3.2e-7","3.03","27.1","0.013","-7.91","-8.07","0","bK17U06Q"
"(2019 VA)","2090-2112","2","9.4e-7","8.24","28.3","0.007","-7.91","-8.03","0","bK19V00A"
"(2020 JV38)","2106-2115","2","5.1e-7","12.07","27.9","0.009","-7.91","-8.17","0","bK20J38V"
"(2021 EZ3)","2111-2111","1","3.7e-8","8.33","25.3","0.030","-7.92","-7.92","0","bK21E03Z"
"(2013 VJ13)","2099-2099","1","3.6e-9","16.09","23.8","0.060","-7.92","-7.92","0","bK13V13J"
"(2020 FU2)","2092-2115","7","9.2e-7","12.88","28.6","0.006","-7.93","-8.15","0","bK20F02U"
"(2017 KB3)","2110-2110","1","2.3e-8","11.40","25.1","0.033","-7.93","-7.93","0","bK17K03B"
"(2020 DM3)","2109-2109","1","5.4e-8","16.52","26.2","0.020","-7.93","-7.93","0","bK20D03M"
"(2018 DU1)","2078-2118","4","5.2e-7","6.69","27.7","0.010","-7.93","-8.28","0","bK18D01U"
"(2021 BN)","2095-2120","16","1.0e-6","7.66","28.3","0.007","-7.94","-8.58","0","bK21B00N"
